Red Automática de Monitoreo Atmosférico de la Secretaría de Medio Ambiente de la CDMX
Ozono (O3) medido en ppb en las estaciones AJU y MGH.
www.aire.cdmx.gob.mx
------------------------------------------------------------------------
FECHA,AJU,MGH
01/1/19 01:00:00,-99,-99
1/1/19 02:00:00,-99,-99
1/1/19 03:00:00,-99,-99
1/1/19 04:00:00,14,2
1/1/19 05:00:00,16,2
1/1/19 06:00:00,15,1
1/1/19 07:00:00,14,1
1/1/19 08:00:00,16,1
1/1/19 09:00:00,21,11
1/1/19 10:00:00,31,32
1/1/19 11:00:00,36,50
1/1/19 12:00:00,42,62
1/1/19 13:00:00,59,84
1/1/19 14:00:00,55,99
1/1/19 15:00:00,62,107
1/1/19 16:00:00,68,100
1/1/19 17:00:00,65,92
1/1/19 18:00:00,60,48
1/1/19 19:00:00,43,28
1/1/19 20:00:00,28,7
1/1/19 21:00:00,22,31
1/1/19 22:00:00,19,27
1/1/19 23:00:00,17,21
1/1/19 00:00:00,10,21
1/2/19 01:00:00,13,8
1/2/19 02:00:00,25,2
1/2/19 03:00:00,22,3
1/2/19 04:00:00,19,2
1/2/19 05:00:00,22,4
1/2/19 06:00:00,13,1
1/2/19 07:00:00,13,0
1/2/19 08:00:00,11,1
1/2/19 09:00:00,10,3
1/2/19 10:00:00,34,11
1/2/19 11:00:00,43,21
1/2/19 12:00:00,48,39
1/2/19 13:00:00,50,48
1/2/19 14:00:00,56,60
1/2/19 15:00:00,55,63
1/2/19 16:00:00,52,61
1/2/19 17:00:00,52,59
1/2/19 18:00:00,52,39
1/2/19 19:00:00,30,23
1/2/19 20:00:00,24,20
1/2/19 21:00:00,9,22
1/2/19 22:00:00,11,13
1/2/19 23:00:00,14,11
1/2/19 00:00:00,14,2
1/3/19 01:00:00,20,1
1/3/19 02:00:00,21,1
1/3/19 03:00:00,15,2
1/3/19 04:00:00,11,1
1/3/19 05:00:00,10,1
1/3/19 06:00:00,6,0
1/3/19 07:00:00,7,0
1/3/19 08:00:00,7,1
1/3/19 09:00:00,11,1
1/3/19 10:00:00,25,4
1/3/19 11:00:00,37,11
1/3/19 12:00:00,43,26
1/3/19 13:00:00,46,39
1/3/19 14:00:00,71,55
1/3/19 15:00:00,81,63
1/3/19 16:00:00,81,71
1/3/19 17:00:00,75,74
1/3/19 18:00:00,77,52
1/3/19 19:00:00,53,19
1/3/19 20:00:00,25,14
1/3/19 21:00:00,20,3
1/3/19 22:00:00,16,3
1/3/19 23:00:00,22,2
1/3/19 00:00:00,15,0
1/4/19 01:00:00,21,0
1/4/19 02:00:00,18,0
1/4/19 03:00:00,20,0
1/4/19 04:00:00,19,1
1/4/19 05:00:00,10,3
1/4/19 06:00:00,8,2
1/4/19 07:00:00,9,2
1/4/19 08:00:00,3,1
1/4/19 09:00:00,15,5
1/4/19 10:00:00,29,16
1/4/19 11:00:00,33,36
1/4/19 12:00:00,36,46
1/4/19 13:00:00,44,59
1/4/19 14:00:00,53,75
1/4/19 15:00:00,61,86
1/4/19 16:00:00,65,96
1/4/19 17:00:00,72,102
1/4/19 18:00:00,71,83
1/4/19 19:00:00,47,36
